"pais";"codigo";"cantHabitantes";"casos";"porMil"
"Andorra";20;77265;12174;157,561638516793
"Montenegro";499;628062;92222;146,835821941146
"Czech Republic";203;10708982;1549734;144,713475099687
"San Marino";674;33938;4775;140,697742943014
"Slovenia";705;2078932;219420;105,544577696625
"Luxembourg";442;625976;62105;99,21306887165
"Israel";376;8655541;834070;96,3625497239283
"United States of America";840;331002647;30671844;92,6634402413102
"Bahrain";48;1701583;147770;86,8426635668081
"West Bank and Gaza";NA;2881957;248482;86,2198846131292
"Panama";591;4314768;356073;82,5242515935967
"Estonia";233;1326539;108937;82,1212192027524
"Portugal";620;10196707;823142;80,7262579968219
"Sweden";752;10099270;813191;80,5197801425251
"Lithuania";440;2722291;218878;80,4021318808313
"Belgium";56;11589616;897474;77,4377684299463
"Netherlands";528;17134873;1316913;76,8557199110843
"France";250;65273512;4802545;73,5757101594288
"Georgia";268;3989175;283369;71,034487080662
"Spain";724;46754783;3300965;70,6016537388271
"Hungary";348;9660350;679413;70,3300605050542
"Serbia";688;8737370;614365;70,3146370131973
"Liechtenstein";438;38137;2679;70,2467420090725
"Switzerland";756;8654618;605342;69,9443926930108
"Lebanon";422;6825442;477113;69,9021396709546
"Croatia";191;4105268;278650;67,876201992172
"Slovakia";703;5459643;364622;66,7849527890377
"Armenia";51;2963234;196044;66,1587981239416
"Malta";470;441539;29189;66,1074106704051
"United Kingdom";826;67886004;4371393;64,3931405949303
"North Macedonia";807;2083380;134134;64,3828778235368
"Poland";616;37846605;2415584;63,8256456556671
"Qatar";634;2881060;182548;63,3614017063164
"Austria";40;9006400;556012;61,7352105169657
"Jordan";400;10203140;626875;61,4394196296434
"Brazil";76;212559409;12953597;60,9410661280113
"Italy";380;60461828;3650247;60,3727528714481
"Monaco";492;39244;2326;59,2702069106105
"Moldova";498;4033963;234394;58,1051437506988
"Kuwait";414;4270563;235989;55,2594587645704
"Latvia";428;1886202;103867;55,066742586425
"Chile";152;19116209;1019478;53,3305531447161
"Bosnia and Herzegovina";70;3280815;173478;52,8764956268488
"Argentina";32;45195777;2383537;52,73804674273
"Bulgaria";100;6948445;352259;50,6960909958991
"Romania";642;19237682;970224;50,4335189655386
"Kosovo";NA;1831000;91079;49,7427635172037
"Ireland";372;4937796;237695;48,1378736586121
"Colombia";170;50882884;2437197;47,8981694512442
"Peru";604;32971846;1573961;47,7365143583407
"United Arab Emirates";784;9890400;468023;47,320937474723
"Maldives";462;540542;24651;45,6042268685875
"Albania";8;2877800;126183;43,8470359302245
"Seychelles";690;98340;4290;43,6241610738255
"Costa Rica";188;5094114;216764;42,551854944746
"Turkey";792;84339067;3445052;40,8476418170478
"Ukraine";804;43733759;1783169;40,7732845466131
"Denmark";208;5792203;233410;40,2972754925889
"Cyprus";196;1207361;47282;39,161443843225
"Belarus";112;9449321;326065;34,5067121754039
"Germany";276;83783945;2886029;34,4460862997081
"Vatican City";336;809;27;33,3745364647713
"Uruguay";858;3473727;113904;32,7901415396201
"Cabo Verde";132;555988;17821;32,0528500615121
"Oman";512;5106622;160018;31,3353915758793
"Belize";84;397621;12456;31,3263132480427
"Russia";643;145934460;4520879;30,9788311821622
"Paraguay";600;7132530;219393;30,7594920736401
"Canada";124;37742157;1005296;26,6358915310537
"Azerbaijan";31;10139175;268174;26,4492919788839
"Greece";300;10423056;273459;26,2359714847546
"South Africa";710;59308690;1551501;26,1597583760491
"Bolivia";68;11673029;274467;23,5129202540318
"Libya";434;6871287;161088;23,4436430904429
"Dominican Republic";214;10847904;254136;23,4271984707829
"Bahamas";44;393248;9171;23,3211612010741
"Saint Lucia";662;183629;4273;23,2697449749223
"Iran";364;83992953;1920394;22,8637514387665
"Tunisia";788;11818618;258335;21,8583086448856
"Iraq";368;40222503;868200;21,584932195791
"Honduras";340;9904608;190142;19,1973271430833
"Ecuador";218;17643060;333175;18,8841958254407
"Iceland";352;341250;6225;18,2417582417582
"Norway";578;5421242;98102;18,0958533118426
"Namibia";516;2540916;44683;17,5853904654857
"Mexico";484;128932753;2249195;17,4447139897804
"Botswana";72;2351625;40878;17,3828735448892
"Kazakhstan";398;18776707;303922;16,1861182581163
"Saint Vincent and the Grenadines";670;110947;1755;15,8183637232192
"Suriname";740;586634;9153;15,6025733251056
"Eswatini";748;1160164;17349;14,9539203078185
"Finland";246;5540718;79094;14,2750452197712
"Jamaica";388;2961161;40449;13,6598449054273
"Kyrgyzstan";417;6524191;88842;13,6173205229583
"Morocco";504;36910558;497832;13,4875230008715
"Guyana";328;786559;10540;13,4001390868326
"Barbados";52;287371;3668;12,7639880154922
"Antigua and Barbuda";28;97928;1170;11,9475533044686
"Saudi Arabia";682;34813867;392009;11,2601395300327
"Guatemala";320;17915567;195239;10,8977293322617
"Malaysia";458;32365998;349610;10,8017679541351
"Singapore";702;5850343;60468;10,3358042425889
"Sao Tome and Principe";678;219161;2240;10,2207965833337
"El Salvador";222;6486201;64431;9,93354970035619
"Nepal";524;29136808;277768;9,53323370219552
"India";356;1380004385;12485509;9,04744154128177
"Gabon";266;2225728;19863;8,92427106996003
"Djibouti";262;988002;8509;8,61233074426975
"Philippines";608;109581085;784043;7,1549118171261
"Cuba";192;11326616;78382;6,920160443331
"Trinidad and Tobago";780;1399491;8136;5,81354220927466
"Venezuela";862;28435943;164337;5,77919993720623
"Indonesia";360;273523621;1527524;5,58461457337902
"Lesotho";426;2142252;10707;4,99801143843021
"Equatorial Guinea";226;1402985;7008;4,99506409548213
"Zambia";894;18383956;88800;4,8302987670336
"Sri Lanka";144;21413250;93295;4,35688183718025
"Comoros";174;869595;3712;4,2686537986074
"Mauritania";478;4649660;17917;3,85340003355084
"Bangladesh";50;164689383;630277;3,82706516059994
"Japan";392;126476458;482704;3,81655216815133
"Pakistan";586;220892331;687908;3,11422310084636
"Mongolia";496;3278292;9598;2,9277440813692
"Ghana";288;31072945;90674;2,91810126140281
"Algeria";12;43851043;117524;2,68007308286829
"Burma";104;54409794;142479;2,61862781542602
"Kenya";404;53771300;138077;2,56785683068849
"Uzbekistan";860;33469199;83435;2,49288905898226
"Zimbabwe";716;14862927;36911;2,4834273895041
