long,lat,CIM,calle,calle_nro,piso,telefono,mail,atencion,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.49,-34.65,Alfonsina Storni,DIRECTORIO AV.,4468,,3981-0802,cim_alfonsinastorni@buenosaires.gob.ar,Lunes a viernes de 9 a 16,Parque Avellaneda,Comuna 9,1407,C1407HGR
-58.40,-34.60,Alicia Moreau,"URIBURU JOSE E., PRES.",1022,,"4823-1165, interno 104",cim_amoreau@buenosaires.gob.ar ,Lunes a viernes de 10 a 17,Recoleta,Comuna 2,1114,C1114AAF
-58.41,-34.61,Arminda Aberastury,"YRIGOYEN, HIPOLITO",3202,,4956-1768,cim_aberastury@buenosaires.gob.ar,Lunes a viernes de 9 a 16,Balvanera,Comuna 3,1207,C1207ABR
-58.48,-34.63,Carolina Muzzilli,"FLORES, VENANCIO, GRAL.",3929,,4672-2537,cim_carolinamuzzilli@buenosaires.go.ar,Lunes a viernes de 10 a 17,Floresta,Comuna 10,1407,C1407ECM
-58.46,-34.63,Dignxs de Ser,LAUTARO,188,,4634-1410,cim_dignxsdeser@buenosaires.gob.ar,Lunes a viernes de 13 a 20,Flores,Comuna 7,1406,C1406DKD
-58.42,-34.60,Elvira Rawson,"SALGUERO, JERONIMO",765,,4867-0163,cim_erawson@buenosaires.gob.ar,Lunes a viernes de 12 a 19,Almagro,Comuna 5,1177,C1177AEM
-58.45,-34.59,Fenia Chertkoff,BONPLAND,723,,2052-0913,cim_fchertkoff@buenosaires.gob.ar,Lunes a viernes de 8 a 15,Chacarita,Comuna 15,1414,C1414CMA
-58.37,-34.62,Isabel Calvo,HUMBERTO 1\u00b0,250,1º,"5030-9700, interno 181",cim_icalvo@buenosaires.gob.ar ,Lunes a viernes de 8 a 16,San Telmo,Comuna 1,1103,C1103ACF
-58.45,-34.61,Lugar de Mujer,FRAGATA PRES. SARMIENTO,889,,4431-9325,cim_lugardemujer@buenosaires.gob.ar,Lunes a viernes de 10 a 17,Caballito,Comuna 6,1405,C1405API
-58.45,-34.57,Macacha Güemes,VUELTA DE OBLIGADO,1524,,2124-2414,cim_macachaguemes@buenosaires.gob.ar,Lunes a viernes de 11 a 18,Belgrano,Comuna 13,1426,C1426BEJ
-58.41,-34.61,Margarita Malharro,24 DE NOVIEMBRE,113,,4931-6296,cimmalharro@buenosaires.gob.ar ,Lunes a viernes de 8 a 21,Balvanera,Comuna 3,1170,C1170AAC
-58.52,-34.61,María Gallego,"BEIRO, FRANCISCO AV.",5229,,4568-1245,cim_mgallego@buenosaires.gob.ar ,Lunes a viernes de 8 a 17,Villa Devoto,Comuna 11,1419,C1419IAB
-58.46,-34.67,Minerva Mirabal,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",4208,,4933-9530,cim_vlugano@buenosaires.gob.ar ,Lunes a viernes de 8.30 a 15.30,Villa Soldati,Comuna 8,1439,C1439CNS
-58.40,-34.63,Pepa Gaitán,PICHINCHA AV.,1765,,2931-1136,cim_pepagaitan@buenosaires.gob.ar,Lunes a viernes de 11 a 19 ,Parque Patricios,Comuna 4,1249,C1249ABK
-58.48,-34.54,Trayectoria por una Vida sin Violencia,ZAPIOLA,4583,,2108-5782,cim_porunavidasinviolencia@buenosaires.gob.ar,"Lunes y jueves de 13 a 20 / Martes,miércoles y viernes de 8 a 15",Saavedra,Comuna 12,1429,C1429AOI
-58.42,-34.59,María Elena Walsh,MALABIA,2139,,7507-1570,cim_mariaelenawalsh@buenosaires.gob.ar,Lunes a viernes de 10 a 17 hs,Palermo,Comuna 14,1425,C1425EZC
